"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание заказа","1","0","Создание заказа с пустым списком ингредиентов","0"
"0","","0","Создание заказа","4","0","Создание заказа с невалидными ингредиентами","0"
"0","","0","Авторизация пользователя","1","0","Логин с некорректными данными","0"
"0","","0","Создание пользователя","3","0","Создание пользователя без обязательного поля","0"
"0","","0","Получение заказов","1","0","Получение заказов авторизованным пользователем","0"
"0","","0","Создание заказа","1","0","Создание заказа без авторизации","0"
"0","","0","Изменение данных пользователя","1","0","Успешное изменение данных пользователя","0"
"0","","0","Создание пользователя","1","0","Успешная регистрация нового пользователя","0"
"0","","0","Создание заказа","1","0","Создание заказа авторизованным пользователем с ингредиентами","0"
"0","","0","Получение заказов","1","0","Получение заказов неавторизованным пользователем","0"
"0","","0","Авторизация пользователя","1","0","Логин под существующим пользователем","0"
