"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","test_create_order_with_empty_ingredients","tests","Sun Jun 29 15:25:10 MSK 2025","passed","Sun Jun 29 15:25:10 MSK 2025","","test_order","",""
"","1292","test_create_order_with_invalid_ingredients[invalid_ingredients3]","tests","Sun Jun 29 15:25:11 MSK 2025","passed","Sun Jun 29 15:25:12 MSK 2025","","test_order","",""
"","253","test_login_with_wrong_credentials","tests","Sun Jun 29 15:25:20 MSK 2025","passed","Sun Jun 29 15:25:20 MSK 2025","","test_user","",""
"","237","test_create_order_with_invalid_ingredients[invalid_ingredients0]","tests","Sun Jun 29 15:25:10 MSK 2025","passed","Sun Jun 29 15:25:10 MSK 2025","","test_order","",""
"","297","test_register_user_without_required_field[password]","tests","Sun Jun 29 15:25:18 MSK 2025","passed","Sun Jun 29 15:25:18 MSK 2025","","test_user","",""
"","3564","test_get_orders_with_auth","tests","Sun Jun 29 15:25:13 MSK 2025","passed","Sun Jun 29 15:25:16 MSK 2025","","test_order","",""
"","485","test_create_order_without_auth","tests","Sun Jun 29 15:25:09 MSK 2025","passed","Sun Jun 29 15:25:10 MSK 2025","","test_order","",""
"","1280","test_update_user_data","tests","Sun Jun 29 15:25:20 MSK 2025","passed","Sun Jun 29 15:25:21 MSK 2025","","test_user","",""
"","634","test_register_user_successfully","tests","Sun Jun 29 15:25:17 MSK 2025","passed","Sun Jun 29 15:25:18 MSK 2025","","test_user","",""
"","243","test_register_user_without_required_field[name]","tests","Sun Jun 29 15:25:18 MSK 2025","passed","Sun Jun 29 15:25:19 MSK 2025","","test_user","",""
"","3188","test_create_order_with_auth_and_ingredients","tests","Sun Jun 29 15:25:06 MSK 2025","passed","Sun Jun 29 15:25:09 MSK 2025","","test_order","",""
"","251","test_get_orders_without_auth","tests","Sun Jun 29 15:25:17 MSK 2025","passed","Sun Jun 29 15:25:17 MSK 2025","","test_order","",""
"","231","test_create_order_with_invalid_ingredients[invalid_ingredients2]","tests","Sun Jun 29 15:25:11 MSK 2025","passed","Sun Jun 29 15:25:11 MSK 2025","","test_order","",""
"","325","test_register_user_without_required_field[email]","tests","Sun Jun 29 15:25:18 MSK 2025","passed","Sun Jun 29 15:25:18 MSK 2025","","test_user","",""
"","1197","test_login_existing_user","tests","Sun Jun 29 15:25:19 MSK 2025","passed","Sun Jun 29 15:25:20 MSK 2025","","test_user","",""
"","239","test_create_order_with_invalid_ingredients[invalid_ingredients1]","tests","Sun Jun 29 15:25:10 MSK 2025","passed","Sun Jun 29 15:25:11 MSK 2025","","test_order","",""
